RightHand,LeftHand,LeftShoulder,RightShoulder,RightArm,LeftArm,LeftFoot,RightFoot,LeftLeg,RightLeg,LeftUpLeg,RightUpLeg,Head,Neck,Hips,Spine,Spine2
"(140, 216, 0)","(267, 215, 0)","(244, 136, 0)","(159, 138, 0)","(139, 177, 0)","(271, 175, 0)","(235, 326, 0)","(182, 326, 0)","(232, 274, 0)","(179, 278, 0)","(228, 221, 0)","(181, 223, 0)","(200, 96, 0)","(201.5, 137.0, 0.0)","(204.5, 222.0, 0.0)","(204.5, 222.0, 0.0)","(203.0, 179.5, 0.0)"
"(139, 216, 0)","(266, 215, 0)","(244, 136, 0)","(159, 138, 0)","(138, 177, 0)","(271, 174, 0)","(235, 326, 0)","(183, 326, 0)","(232, 274, 0)","(179, 278, 0)","(229, 222, 0)","(181, 223, 0)","(201, 95, 0)","(201.5, 137.0, 0.0)","(205.0, 222.5, 0.0)","(205.0, 222.5, 0.0)","(203.25, 179.75, 0.0)"
"(139, 216, 0)","(266, 215, 0)","(245, 136, 0)","(159, 138, 0)","(138, 177, 0)","(271, 174, 0)","(235, 326, 0)","(183, 326, 0)","(232, 274, 0)","(179, 278, 0)","(229, 223, 0)","(181, 224, 0)","(201, 94, 0)","(202.0, 137.0, 0.0)","(205.0, 223.5, 0.0)","(205.0, 223.5, 0.0)","(203.5, 180.25, 0.0)"
"(138, 216, 0)","(266, 214, 0)","(245, 136, 0)","(159, 138, 0)","(137, 177, 0)","(271, 174, 0)","(235, 326, 0)","(183, 326, 0)","(232, 274, 0)","(179, 278, 0)","(229, 223, 0)","(181, 225, 0)","(201, 94, 0)","(202.0, 137.0, 0.0)","(205.0, 224.0, 0.0)","(205.0, 224.0, 0.0)","(203.5, 180.5, 0.0)"
"(138, 216, 0)","(266, 213, 0)","(245, 136, 0)","(159, 138, 0)","(137, 177, 0)","(271, 173, 0)","(235, 326, 0)","(183, 327, 0)","(232, 274, 0)","(178, 278, 0)","(229, 223, 0)","(181, 225, 0)","(201, 94, 0)","(202.0, 137.0, 0.0)","(205.0, 224.0, 0.0)","(205.0, 224.0, 0.0)","(203.5, 180.5, 0.0)"
"(137, 216, 0)","(266, 213, 0)","(245, 136, 0)","(159, 138, 0)","(136, 177, 0)","(271, 173, 0)","(235, 326, 0)","(183, 327, 0)","(232, 274, 0)","(178, 278, 0)","(229, 224, 0)","(181, 225, 0)","(201, 94, 0)","(202.0, 137.0, 0.0)","(205.0, 224.5, 0.0)","(205.0, 224.5, 0.0)","(203.5, 180.75, 0.0)"
"(137, 216, 0)","(266, 212, 0)","(245, 136, 0)","(159, 138, 0)","(136, 177, 0)","(271, 173, 0)","(235, 327, 0)","(184, 327, 0)","(232, 274, 0)","(179, 278, 0)","(229, 224, 0)","(181, 225, 0)","(201, 94, 0)","(202.0, 137.0, 0.0)","(205.0, 224.5, 0.0)","(205.0, 224.5, 0.0)","(203.5, 180.75, 0.0)"
"(136, 216, 0)","(267, 212, 0)","(245, 136, 0)","(160, 138, 0)","(136, 176, 0)","(272, 172, 0)","(235, 326, 0)","(184, 327, 0)","(232, 274, 0)","(179, 277, 0)","(229, 224, 0)","(181, 225, 0)","(201, 94, 0)","(202.5, 137.0, 0.0)","(205.0, 224.5, 0.0)","(205.0, 224.5, 0.0)","(203.75, 180.75, 0.0)"
"(136, 216, 0)","(267, 212, 0)","(245, 135, 0)","(160, 138, 0)","(136, 176, 0)","(272, 172, 0)","(235, 326, 0)","(184, 326, 0)","(231, 272, 0)","(179, 275, 0)","(229, 224, 0)","(181, 225, 0)","(201, 94, 0)","(202.5, 136.5, 0.0)","(205.0, 224.5, 0.0)","(205.0, 224.5, 0.0)","(203.75, 180.5, 0.0)"
"(135, 216, 0)","(268, 212, 0)","(245, 135, 0)","(160, 138, 0)","(135, 176, 0)","(272, 172, 0)","(235, 326, 0)","(184, 326, 0)","(231, 272, 0)","(179, 274, 0)","(229, 224, 0)","(181, 225, 0)","(201, 94, 0)","(202.5, 136.5, 0.0)","(205.0, 224.5, 0.0)","(205.0, 224.5, 0.0)","(203.75, 180.5, 0.0)"
"(135, 216, 0)","(268, 212, 0)","(245, 135, 0)","(160, 138, 0)","(135, 175, 0)","(272, 172, 0)","(235, 326, 0)","(184, 326, 0)","(231, 272, 0)","(179, 274, 0)","(229, 225, 0)","(181, 225, 0)","(201, 94, 0)","(202.5, 136.5, 0.0)","(205.0, 225.0, 0.0)","(205.0, 225.0, 0.0)","(203.75, 180.75, 0.0)"
"(134, 216, 0)","(268, 212, 0)","(245, 135, 0)","(160, 138, 0)","(135, 175, 0)","(272, 172, 0)","(235, 326, 0)","(184, 326, 0)","(231, 272, 0)","(179, 274, 0)","(229, 225, 0)","(181, 226, 0)","(201, 94, 0)","(202.5, 136.5, 0.0)","(205.0, 225.5, 0.0)","(205.0, 225.5, 0.0)","(203.75, 181.0, 0.0)"
"(134, 216, 0)","(269, 212, 0)","(245, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 172, 0)","(235, 326, 0)","(184, 326, 0)","(231, 272, 0)","(179, 274, 0)","(229, 225, 0)","(182, 226, 0)","(201, 94, 0)","(202.0, 136.5, 0.0)","(205.5, 225.5, 0.0)","(205.5, 225.5, 0.0)","(203.75, 181.0, 0.0)"
"(133, 216, 0)","(269, 212, 0)","(245, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(235, 325, 0)","(184, 326, 0)","(231, 273, 0)","(179, 275, 0)","(229, 225, 0)","(182, 226, 0)","(201, 94, 0)","(202.0, 136.5, 0.0)","(205.5, 225.5, 0.0)","(205.5, 225.5, 0.0)","(203.75, 181.0, 0.0)"
"(133, 216, 0)","(269, 212, 0)","(245, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(235, 325, 0)","(184, 326, 0)","(231, 273, 0)","(179, 275, 0)","(229, 225, 0)","(182, 226, 0)","(200, 94, 0)","(202.0, 136.5, 0.0)","(205.5, 225.5, 0.0)","(205.5, 225.5, 0.0)","(203.75, 181.0, 0.0)"
"(133, 216, 0)","(269, 212, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(234, 325, 0)","(184, 326, 0)","(231, 274, 0)","(179, 275, 0)","(229, 225, 0)","(182, 226, 0)","(200, 94, 0)","(201.5, 136.5, 0.0)","(205.5, 225.5, 0.0)","(205.5, 225.5, 0.0)","(203.5, 181.0, 0.0)"
"(133, 216, 0)","(269, 212, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(234, 325, 0)","(184, 326, 0)","(231, 273, 0)","(179, 275, 0)","(229, 225, 0)","(182, 226, 0)","(200, 94, 0)","(201.5, 136.5, 0.0)","(205.5, 225.5, 0.0)","(205.5, 225.5, 0.0)","(203.5, 181.0, 0.0)"
"(133, 216, 0)","(269, 212, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(234, 325, 0)","(184, 325, 0)","(231, 273, 0)","(179, 275, 0)","(229, 225, 0)","(182, 226, 0)","(200, 94, 0)","(201.5, 136.5, 0.0)","(205.5, 225.5, 0.0)","(205.5, 225.5, 0.0)","(203.5, 181.0, 0.0)"
"(134, 215, 0)","(269, 212, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(233, 324, 0)","(184, 325, 0)","(231, 272, 0)","(179, 275, 0)","(230, 225, 0)","(182, 226, 0)","(200, 94, 0)","(201.5, 136.5, 0.0)","(206.0, 225.5, 0.0)","(206.0, 225.5, 0.0)","(203.75, 181.0, 0.0)"
"(134, 215, 0)","(269, 212, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(233, 324, 0)","(183, 325, 0)","(231, 272, 0)","(179, 274, 0)","(230, 225, 0)","(182, 226, 0)","(200, 94, 0)","(201.5, 136.5, 0.0)","(206.0, 225.5, 0.0)","(206.0, 225.5, 0.0)","(203.75, 181.0, 0.0)"
"(134, 215, 0)","(269, 212, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(233, 324, 0)","(183, 325, 0)","(231, 272, 0)","(179, 274, 0)","(230, 225, 0)","(182, 226, 0)","(200, 94, 0)","(201.5, 136.5, 0.0)","(206.0, 225.5, 0.0)","(206.0, 225.5, 0.0)","(203.75, 181.0, 0.0)"
"(134, 215, 0)","(269, 212, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(233, 324, 0)","(183, 325, 0)","(231, 271, 0)","(179, 274, 0)","(230, 225, 0)","(182, 226, 0)","(200, 94, 0)","(201.5, 136.5, 0.0)","(206.0, 225.5, 0.0)","(206.0, 225.5, 0.0)","(203.75, 181.0, 0.0)"
"(134, 215, 0)","(269, 212, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(233, 324, 0)","(183, 324, 0)","(230, 271, 0)","(179, 274, 0)","(230, 225, 0)","(182, 226, 0)","(200, 94, 0)","(201.5, 136.5, 0.0)","(206.0, 225.5, 0.0)","(206.0, 225.5, 0.0)","(203.75, 181.0, 0.0)"
"(134, 215, 0)","(269, 212, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(233, 324, 0)","(183, 324, 0)","(230, 271, 0)","(179, 274, 0)","(230, 225, 0)","(182, 226, 0)","(200, 94, 0)","(201.5, 136.5, 0.0)","(206.0, 225.5, 0.0)","(206.0, 225.5, 0.0)","(203.75, 181.0, 0.0)"
"(134, 215, 0)","(268, 212, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(233, 324, 0)","(183, 324, 0)","(230, 271, 0)","(179, 274, 0)","(230, 225, 0)","(182, 226, 0)","(200, 94, 0)","(201.5, 136.5, 0.0)","(206.0, 225.5, 0.0)","(206.0, 225.5, 0.0)","(203.75, 181.0, 0.0)"
"(135, 215, 0)","(268, 213, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(233, 324, 0)","(183, 324, 0)","(230, 271, 0)","(179, 274, 0)","(230, 225, 0)","(182, 226, 0)","(201, 94, 0)","(201.5, 136.5, 0.0)","(206.0, 225.5, 0.0)","(206.0, 225.5, 0.0)","(203.75, 181.0, 0.0)"
"(135, 214, 0)","(268, 213, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(233, 324, 0)","(183, 324, 0)","(230, 271, 0)","(179, 274, 0)","(230, 225, 0)","(182, 226, 0)","(201, 94, 0)","(201.5, 136.5, 0.0)","(206.0, 225.5, 0.0)","(206.0, 225.5, 0.0)","(203.75, 181.0, 0.0)"
"(135, 214, 0)","(268, 213, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(233, 324, 0)","(183, 324, 0)","(230, 271, 0)","(179, 274, 0)","(230, 225, 0)","(182, 226, 0)","(201, 94, 0)","(201.5, 136.5, 0.0)","(206.0, 225.5, 0.0)","(206.0, 225.5, 0.0)","(203.75, 181.0, 0.0)"
"(134, 214, 0)","(268, 213, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(233, 324, 0)","(183, 324, 0)","(230, 271, 0)","(179, 274, 0)","(230, 225, 0)","(182, 226, 0)","(201, 94, 0)","(201.5, 136.5, 0.0)","(206.0, 225.5, 0.0)","(206.0, 225.5, 0.0)","(203.75, 181.0, 0.0)"
"(134, 214, 0)","(268, 213, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(232, 324, 0)","(183, 324, 0)","(230, 271, 0)","(179, 275, 0)","(230, 225, 0)","(182, 226, 0)","(201, 94, 0)","(201.5, 136.5, 0.0)","(206.0, 225.5, 0.0)","(206.0, 225.5, 0.0)","(203.75, 181.0, 0.0)"
"(134, 214, 0)","(268, 213, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(232, 324, 0)","(183, 324, 0)","(230, 271, 0)","(179, 275, 0)","(229, 225, 0)","(182, 226, 0)","(201, 94, 0)","(201.5, 136.5, 0.0)","(205.5, 225.5, 0.0)","(205.5, 225.5, 0.0)","(203.5, 181.0, 0.0)"
"(134, 214, 0)","(268, 213, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(272, 171, 0)","(232, 324, 0)","(183, 325, 0)","(230, 271, 0)","(179, 276, 0)","(229, 225, 0)","(182, 226, 0)","(201, 94, 0)","(201.5, 136.5, 0.0)","(205.5, 225.5, 0.0)","(205.5, 225.5, 0.0)","(203.5, 181.0, 0.0)"
"(134, 214, 0)","(268, 213, 0)","(244, 135, 0)","(159, 138, 0)","(134, 175, 0)","(271, 171, 0)","(232, 324, 0)","(183, 325, 0)","(230, 271, 0)","(179, 276, 0)","(229, 225, 0)","(182, 226, 0)","(201, 94, 0)","(201.5, 136.5, 0.0)","(205.5, 225.5, 0.0)","(205.5, 225.5, 0.0)","(203.5, 181.0, 0.0)"
"(134, 214, 0)","(268, 213, 0)","(244, 135, 0)","(159, 138, 0)","(133, 175, 0)","(271, 171, 0)","(232, 324, 0)","(182, 325, 0)","(230, 271, 0)","(178, 276, 0)","(229, 225, 0)","(182, 226, 0)","(201, 94, 0)","(201.5, 136.5, 0.0)","(205.5, 225.5, 0.0)","(205.5, 225.5, 0.0)","(203.5, 181.0, 0.0)"
"(134, 214, 0)","(268, 213, 0)","(244, 135, 0)","(159, 138, 0)","(133, 175, 0)","(271, 171, 0)","(232, 324, 0)","(182, 325, 0)","(230, 271, 0)","(178, 276, 0)","(229, 225, 0)","(182, 226, 0)","(201, 94, 0)","(201.5, 136.5, 0.0)","(205.5, 225.5, 0.0)","(205.5, 225.5, 0.0)","(203.5, 181.0, 0.0)"
"(133, 215, 0)","(268, 213, 0)","(244, 135, 0)","(159, 138, 0)","(132, 175, 0)","(271, 171, 0)","(232, 323, 0)","(182, 324, 0)","(230, 271, 0)","(178, 275, 0)","(229, 225, 0)","(181, 226, 0)","(201, 94, 0)","(201.5, 136.5, 0.0)","(205.0, 225.5, 0.0)","(205.0, 225.5, 0.0)","(203.25, 181.0, 0.0)"
"(130, 214, 0)","(268, 213, 0)","(244, 135, 0)","(159, 138, 0)","(132, 174, 0)","(271, 171, 0)","(232, 323, 0)","(182, 324, 0)","(230, 271, 0)","(178, 275, 0)","(229, 225, 0)","(181, 226, 0)","(201, 94, 0)","(201.5, 136.5, 0.0)","(205.0, 225.5, 0.0)","(205.0, 225.5, 0.0)","(203.25, 181.0, 0.0)"
"(125, 213, 0)","(267, 213, 0)","(244, 135, 0)","(159, 137, 0)","(131, 173, 0)","(271, 171, 0)","(232, 323, 0)","(182, 324, 0)","(230, 271, 0)","(178, 275, 0)","(229, 225, 0)","(181, 226, 0)","(201, 94, 0)","(201.5, 136.0, 0.0)","(205.0, 225.5, 0.0)","(205.0, 225.5, 0.0)","(203.25, 180.75, 0.0)"
"(119, 207, 0)","(267, 213, 0)","(244, 135, 0)","(159, 137, 0)","(130, 172, 0)","(271, 172, 0)","(232, 323, 0)","(182, 324, 0)","(230, 270, 0)","(178, 274, 0)","(229, 225, 0)","(181, 225, 0)","(201, 94, 0)","(201.5, 136.0, 0.0)","(205.0, 225.0, 0.0)","(205.0, 225.0, 0.0)","(203.25, 180.5, 0.0)"
"(114, 193, 0)","(267, 213, 0)","(244, 135, 0)","(159, 137, 0)","(130, 169, 0)","(271, 172, 0)","(232, 323, 0)","(182, 324, 0)","(230, 270, 0)","(178, 274, 0)","(229, 225, 0)","(181, 224, 0)","(201, 94, 0)","(201.5, 136.0, 0.0)","(205.0, 224.5, 0.0)","(205.0, 224.5, 0.0)","(203.25, 180.25, 0.0)"
"(111, 181, 0)","(267, 212, 0)","(244, 135, 0)","(159, 137, 0)","(130, 166, 0)","(271, 172, 0)","(231, 323, 0)","(181, 324, 0)","(230, 270, 0)","(178, 274, 0)","(229, 225, 0)","(181, 223, 0)","(200, 94, 0)","(201.5, 136.0, 0.0)","(205.0, 224.0, 0.0)","(205.0, 224.0, 0.0)","(203.25, 180.0, 0.0)"
"(109, 172, 0)","(267, 212, 0)","(244, 135, 0)","(160, 137, 0)","(130, 163, 0)","(271, 171, 0)","(231, 323, 0)","(181, 324, 0)","(230, 271, 0)","(178, 275, 0)","(229, 224, 0)","(181, 223, 0)","(200, 94, 0)","(202.0, 136.0, 0.0)","(205.0, 223.5, 0.0)","(205.0, 223.5, 0.0)","(203.5, 179.75, 0.0)"
"(109, 165, 0)","(267, 211, 0)","(244, 135, 0)","(160, 137, 0)","(130, 164, 0)","(271, 171, 0)","(231, 323, 0)","(181, 324, 0)","(230, 272, 0)","(178, 275, 0)","(228, 224, 0)","(181, 223, 0)","(200, 94, 0)","(202.0, 136.0, 0.0)","(204.5, 223.5, 0.0)","(204.5, 223.5, 0.0)","(203.25, 179.75, 0.0)"
"(109, 157, 0)","(267, 211, 0)","(244, 135, 0)","(160, 137, 0)","(129, 164, 0)","(271, 171, 0)","(231, 323, 0)","(181, 324, 0)","(230, 273, 0)","(178, 276, 0)","(228, 224, 0)","(181, 223, 0)","(200, 94, 0)","(202.0, 136.0, 0.0)","(204.5, 223.5, 0.0)","(204.5, 223.5, 0.0)","(203.25, 179.75, 0.0)"
"(108, 148, 0)","(267, 211, 0)","(244, 134, 0)","(160, 137, 0)","(124, 165, 0)","(271, 171, 0)","(231, 323, 0)","(181, 324, 0)","(229, 273, 0)","(178, 276, 0)","(228, 224, 0)","(181, 223, 0)","(200, 94, 0)","(202.0, 135.5, 0.0)","(204.5, 223.5, 0.0)","(204.5, 223.5, 0.0)","(203.25, 179.5, 0.0)"
"(109, 136, 0)","(267, 211, 0)","(243, 134, 0)","(161, 137, 0)","(119, 165, 0)","(271, 171, 0)","(231, 322, 0)","(181, 324, 0)","(229, 274, 0)","(178, 276, 0)","(228, 224, 0)","(181, 223, 0)","(200, 94, 0)","(202.0, 135.5, 0.0)","(204.5, 223.5, 0.0)","(204.5, 223.5, 0.0)","(203.25, 179.5, 0.0)"
"(110, 128, 0)","(267, 211, 0)","(243, 134, 0)","(160, 135, 0)","(115, 163, 0)","(271, 171, 0)","(231, 322, 0)","(181, 324, 0)","(229, 273, 0)","(178, 276, 0)","(228, 224, 0)","(181, 223, 0)","(199, 94, 0)","(201.5, 134.5, 0.0)","(204.5, 223.5, 0.0)","(204.5, 223.5, 0.0)","(203.0, 179.0, 0.0)"
"(110, 121, 0)","(267, 211, 0)","(243, 134, 0)","(160, 135, 0)","(113, 160, 0)","(271, 171, 0)","(231, 322, 0)","(181, 323, 0)","(229, 272, 0)","(178, 275, 0)","(228, 224, 0)","(181, 223, 0)","(199, 94, 0)","(201.5, 134.5, 0.0)","(204.5, 223.5, 0.0)","(204.5, 223.5, 0.0)","(203.0, 179.0, 0.0)"
"(111, 118, 0)","(267, 211, 0)","(243, 134, 0)","(160, 135, 0)","(111, 158, 0)","(271, 171, 0)","(231, 322, 0)","(181, 323, 0)","(228, 271, 0)","(178, 275, 0)","(228, 224, 0)","(181, 223, 0)","(199, 94, 0)","(201.5, 134.5, 0.0)","(204.5, 223.5, 0.0)","(204.5, 223.5, 0.0)","(203.0, 179.0, 0.0)"
"(114, 111, 0)","(266, 211, 0)","(243, 134, 0)","(160, 134, 0)","(109, 153, 0)","(271, 172, 0)","(231, 322, 0)","(181, 323, 0)","(228, 269, 0)","(178, 274, 0)","(228, 224, 0)","(181, 223, 0)","(198, 94, 0)","(201.5, 134.0, 0.0)","(204.5, 223.5, 0.0)","(204.5, 223.5, 0.0)","(203.0, 178.75, 0.0)"
